,Store Number,City,2015 Sales,2015 Sales_mean,County_Number,Price_per_Liter_mean,Zip_Code,2015_Volume_Sold_(Liters),2015_Volume_Sold_(Liters)_mean,2015_Margin_mean,2015_Sales_Q1,2016_Sales_Q1
771,4604,NEWTON,1976.8,2.67135135135,24923.41,33.6802837838,50,17.9741986172,11.2587297297,50208,5671.78,407.52
772,4605,MARION,280.85,8.51060606061,3368.78,102.084242424,57,13.3582683983,34.1693939394,52302,848.26,1152.78
773,4607,GUTTENBERG,130.5,9.32142857143,1765.8,126.128571429,22,14.9885714286,42.0728571429,52052,94.2,1297.32
774,4608,COUNCIL BLUFFS,369.36,3.45196261682,5466.16,51.0856074766,78,19.359506725,17.0395327103,51503,1351.58,593.88
775,4609,ANKENY,365.02,6.40385964912,4569.23,80.1619298246,77,15.5679781013,26.7863157895,50023,730.2,2017.2
776,4612,DAVENPORT,1162.69,7.64927631579,17346.35,114.120723684,82,19.8014794799,38.0673684211,52802,5213.96,1563.51
777,4613,CARROLL,545.95,8.80564516129,5895.53,95.0891935484,14,11.8362749616,31.7679032258,51401,1633.77,2462.24
778,4615,MASON CITY,2403.63,10.228212766,37761.59,160.687617021,17,18.0806131819,53.6550638298,50401,5631.52,942.36
779,4617,DES MOINES,1830.56,4.02320879121,31499.62,69.2299340659,77,20.9552324783,23.122043956,50317,8395.82,1719.92
780,4619,FORT MADISON,989.52,2.88489795918,14603.4,42.5755102041,56,19.1722114179,14.2059475219,52627,2785.61,465.4
781,4620,FONTANELLE,480.75,10.4510869565,6495.09,141.197608696,1,18.4613354037,47.0804347826,50846,1696.56,881.77
782,4621,MAXWELL,233.25,11.1071428571,2594.4,123.542857143,85,12.382585034,41.8342857143,50161,559.32,2167.25
783,4622,DES MOINES,407.0,4.07,6058.57,60.5857,77,19.4399095238,20.2088,50320,1585.32,1600.29
784,4623,VAN METER,172.2,14.35,1653.6,137.8,25,12.5095238095,45.975,50261,416.52,4122.45
785,4624,HIAWATHA,384.04,4.8005,4630.54,57.88175,57,16.2612366071,19.311375,52233,1054.91,3804.38
786,4626,COUNCIL BLUFFS,450.1,5.05730337079,5261.16,59.1141573034,78,15.3279935795,19.7164044944,51501,767.98,2494.59
787,4627,SULLY,139.5,15.5,2091.12,232.346666667,50,13.0416402116,77.4666666667,50251,60.84,2963.26
788,4628,OELWEIN,597.37,9.48206349206,7652.24,121.464126984,33,15.8628760393,40.6438095238,50662,2439.39,397.32
789,4629,GLENWOOD,571.69,6.57114942529,7270.1,83.5643678161,65,16.5138711002,27.8979310345,51534,1344.63,3894.84
790,4630,DAVENPORT,1187.35,10.1482905983,22288.42,190.499316239,82,19.0822547823,63.5958974359,52803,3682.1,529.5
791,4631,CEDAR FALLS,362.05,9.28333333333,3995.99,102.461282051,7,14.8800610501,34.2833333333,50613,1300.79,1947.14
